text,label,model
"[686, 38, 236, 4, 2828, 0, 7, 0, 1550, 417, 1, 132, 0, 25, 0, 8, 8, 3, 67, 49, 38, 4, 1822, 0, 6, 0, 1, 758, 3, 11, 2259, 4, 91, 30, 427, 585, 1, 11, 10, 125, 4, 457, 2, 639, 3, 287, 3, 59, 14, 197, 33, 39, 172, 30, 419, 1, 14, 10, 1839, 1431, 8, 15, 2245, 6, 1112, 852, 1, 11, 8, 207, 3201, 19, 310, 49, 187, 85, 65, 3, 7, 21, 253, 10, 149, 2, 170, 1, 67, 49, 147, 9, 2868, 1079, 631, 0, 12, 122, 81, 1112, 3, 702, 1501, 54, 0, 3, 7, 2, 1380, 43, 2, 403, 0, 1]",0,0.0
"[0, 93, 87, 3, 548, 1, 1072, 1, 3, 104, 103, 211, 1, 1275, 1, 1275, 1, 0, 903, 1, 3, 0, 107, 1, 15, 1, 0, 63, 0, 62, 104, 103, 211, 1, 378, 0, 903, 1, 3, 0, 107, 1, 15, 1, 0, 63, 0, 62, 104, 103, 211, 1, 1131, 1994, 903, 1, 3, 0, 107, 1, 15, 1, 0, 63, 0, 62, 1]",0,7.0
"[70, 0, 4705, 7, 0, 0, 38, 1856, 0, 16, 2, 1491, 330, 1027, 1, 8, 938, 54, 94, 938, 54, 102, 94, 8, 2, 0, 570, 129, 3, 53, 9, 5, 2547, 3, 2, 1027, 6, 1561, 0, 570, 129, 3, 7, 2571, 1, 30, 677, 1152, 34, 26, 4, 661, 26, 1707, 52, 6, 363, 1, 13, 10, 85, 97, 2245, 6, 661, 819, 2, 1561, 0, 2259, 51, 0, 47, 2, 4469, 0, 43, 138, 184, 358, 1, 34, 87, 26, 0, 225, 1, 3026, 3, 339, 1, 1, 1, 332, 0, 4, 31, 3790, 3, 1120, 80, 34, 43, 318, 7, 3595, 3, 7, 2356, 1, 332, 0, 4, 31, 127, 3536, 7, 3117, 226, 85, 2402, 0, 1, 34, 87, 0, 4, 31, 464, 3, 0, 3, 7, 0, 1, 30, 10, 28, 166, 1, 179, 332, 1766, 54, 2592, 22, 2, 0, 7, 120, 105, 975, 105, 3, 7, 42, 0, 7, 0, 3, 2, 0, 1027, 1, 1079, 2, 1027, 465, 163, 1, 42, 78, 46, 8, 37, 32, 2, 2765, 6, 686, 3, 0, 3, 7, 137, 0, 1889, 12, 43, 0, 1, 39, 3864, 10, 5, 1833, 7, 2, 1027, 680, 239, 40, 0, 3036, 4, 122, 237, 14, 465, 163, 1, 40, 1741, 0, 149, 0, 4, 147, 52, 159, 1, 102, 2, 1027, 10, 0, 198, 375, 1, 11, 0, 22, 11, 187, 4, 2, 1027, 0, 73, 10, 0, 1]",0,3.0
"[117, 829, 3, 1456, 6, 4502, 332, 1784, 9, 4484, 235, 319, 2, 4163, 18, 696, 1, 19, 591, 12, 10, 184, 358, 3, 0, 12, 1278, 8, 37, 152, 7, 97, 89, 0, 0, 3, 30, 98, 0, 21, 0, 7, 133, 533, 5, 4502, 4097, 6, 97, 565, 1, 2, 384, 3, 73, 17, 5, 0, 6, 1502, 4905, 19, 2, 1706, 0, 6, 2, 4017, 563, 3, 60, 31, 35, 117, 1282, 76, 7, 113, 2731, 1, 29, 58, 30, 1191, 825, 3, 16, 397, 3, 17, 163, 1047, 7, 755, 1, 30, 17, 5, 0, 1, 19, 97, 2162, 9, 0, 3, 30, 17, 28, 5, 1538, 167, 9, 5, 4502, 4097, 1, 29, 13, 17, 2, 4405, 0, 1464, 1, 327, 220, 13, 2336, 4, 122, 327, 2428, 34, 43, 1437, 19, 5, 0, 1, 5, 299, 793, 582, 30, 384, 117, 146, 1, 9, 2, 0, 1043, 439, 6, 0, 3, 306, 4502, 332, 133, 4, 193, 7, 123, 51, 591, 0, 354, 76, 2, 624, 6, 1838, 381, 2748, 35, 999, 3, 952, 7, 89, 972, 815, 3, 3733, 2, 384, 1392, 662, 33, 378, 339, 346, 461, 1, 34, 78, 53, 30, 3, 7, 34, 26, 4, 1740, 51, 591, 9, 40, 0, 354, 275, 4, 0, 51, 914, 1, 8, 5, 2415, 282, 123, 1247, 119, 35, 5, 3308, 282, 8, 15, 2173, 1511, 3, 8, 23, 2, 384, 1, 2, 2415, 253, 867, 85, 30, 72, 0, 9, 5, 98, 8, 15, 540, 228, 3, 5, 1706, 282, 475, 40, 1741, 1458, 3, 73, 1160, 1579, 58, 27, 214, 5, 2597, 3814, 3, 5, 2597, 3814, 18, 644, 1757, 1738, 7, 0, 16, 1590, 19, 2415, 1601, 1, 2, 4502, 98, 23, 3, 8, 11, 176, 4, 147, 19, 20, 1966, 3, 8, 7, 27, 26, 65, 670, 5, 2597, 3814, 52, 4, 66, 0, 0, 19, 2, 808, 3, 2, 384, 2521, 1, 2, 4502, 253, 720, 16, 5, 127, 3078, 1501, 253, 16, 775, 499, 3, 29, 13, 10, 616, 5, 0, 2665, 0, 12, 2773, 254, 2924, 7, 4502, 2956, 1, 2, 2415, 1191, 10, 2, 84, 422, 0, 1444, 18, 696, 1, 124, 2, 4502, 1191, 253, 133, 4932, 1, 2196, 4, 1502, 4905, 76, 2, 384, 10, 898, 4, 2, 0, 1094, 76, 7, 1502, 0, 3, 73, 3066, 5, 2128, 6, 276, 85, 1705, 0, 7, 0, 1, 2, 2415, 384, 501, 22, 1502, 0, 0, 1586, 2, 1705, 628, 2180, 1212, 6, 1838, 2785, 0, 35, 691, 76, 1478, 280, 4, 280, 0, 76, 4, 0, 4, 0, 1, 24, 2, 524, 3, 56, 17, 55, 1348, 6, 0, 1323, 9, 299, 1265, 3, 29, 9, 5, 382, 902, 3, 352, 0, 4669, 2, 1217, 96, 6, 0, 2352, 1]",0,3.0
"[27, 1829, 36, 70, 2444, 4, 193, 1, 310, 121, 36, 109, 3790, 27, 187, 1, 27, 10, 2913, 3, 118, 27, 8, 207, 4813, 34, 60, 0, 36, 1, 531, 3, 100, 2092, 190, 36, 52, 18, 5, 678, 1, 27, 133, 134, 293, 7, 3324, 1]",1,8.0
"[466, 5, 70, 448, 7, 123, 5, 70, 326, 1, 14, 235, 336, 2509, 1180, 18, 13, 1, 1997, 67, 43, 301, 16, 2, 167, 49, 26, 2, 326, 117, 1, 673, 1394, 81, 13, 10, 46, 8, 37, 65, 29, 34, 673, 1104, 1, 830, 162, 4, 91, 5, 303, 326, 1]",1,8.0
"[832, 5, 2001, 45, 369, 191, 1, 34, 121, 36, 13, 10, 2123, 7, 60, 31, 40, 1088, 7, 5, 735, 1, 23, 1206, 0, 1, 29, 59, 13, 1099, 3, 13, 10, 0, 26, 5, 591, 18, 13, 94, 625, 13, 114, 16, 5, 0, 7, 0, 36, 219, 365, 94]",1,8.0
"[851, 5, 0, 0, 505, 3, 63, 0, 3, 0, 3, 0, 3, 3103, 62, 7, 2, 4381, 386, 13, 1, 11, 1871, 56, 3, 2587, 4, 12, 0, 1244, 437, 35, 2, 0, 1, 102, 3, 459, 66, 28, 173, 11, 8, 83, 270, 4, 122, 30, 699, 2336, 1, 11, 240, 1, 11, 516, 3, 842, 3, 11, 240, 28, 125, 4, 31, 0, 169, 1, 13, 10, 2, 3614, 0, 12, 397, 0, 5, 3619, 1, 11, 8, 154, 420, 6, 89, 3, 0, 894, 3, 49, 78, 13, 1, 58, 8, 15, 536, 19, 179, 0, 50, 13, 17, 46, 8, 37, 85, 34, 8, 115, 0, 7, 34, 32, 0, 1812, 1, 13, 8, 15, 53, 332, 1, 11, 240, 40, 0, 4375, 1, 59, 11, 10, 318, 3, 11, 0, 129, 327, 49, 26, 2, 156, 1329, 4950, 3, 7, 246, 81, 9, 0, 1]",0,3.0
"[137, 102, 3, 2, 264, 23, 3, 181, 1095, 0, 3, 252, 2, 904, 6, 1251, 9, 95, 3803, 3, 22, 159, 22, 2, 0, 6, 95, 6, 2, 2129, 4, 203, 4, 1323, 18, 0, 3, 0, 0, 12, 60, 864, 58, 2, 104, 103, 0, 0, 5, 2449, 3, 1703, 132, 12, 0, 2, 0, 119, 90, 2, 117, 2318, 1]",1,8.0
"[40, 53, 1329, 0, 0, 12, 21, 0, 32, 0, 1, 120, 785, 1, 2, 232, 0, 0, 570, 18, 5, 272, 6, 0, 6, 0, 7, 0, 2458, 3, 612, 16, 21, 0, 19, 2, 1027, 1, 0, 0, 26, 44, 0, 22, 2, 1863, 8, 15, 0, 0, 412, 7, 0, 51, 138, 790, 1, 0, 10, 1760, 4, 490, 142, 40, 0, 69, 3, 16, 14, 26, 44, 694, 68, 186, 16, 142, 5, 700, 1, 0, 4999, 21, 1340, 0, 90, 21, 2314, 22, 2, 1863, 8, 15, 0, 460, 1150, 6, 65, 1, 2, 0, 6, 2, 261, 0, 119, 21, 4579, 1135, 22, 311, 7, 0, 22, 5, 261, 282, 8, 15, 94, 0, 649, 21, 0, 245, 3, 7, 1606, 24, 36, 1, 25, 1027, 1027, 3, 42, 75, 1135, 4, 529, 86, 45, 198, 180, 88, 3, 8, 8, 0, 928, 3, 25, 42, 8, 115, 813, 12, 27, 2505, 0, 3, 7, 12, 163, 409, 150, 870, 80, 42, 66, 28, 91, 36, 52, 6, 169, 1, 8, 8]",0,3.0
